bodyparts coords,toe x,toe y,toe likelihood,mtp x,mtp y,mtp likelihood,ankle x,ankle y,ankle likelihood,knee x,knee y,knee likelihood,hip x,hip y,hip likelihood,iliac crest x,iliac crest y,iliac crest likelihood
64,2239.5360236004044,629.5295657374668,0.9997710585594176,2217.188331696131,616.0916633283226,0.9999560117721558,2182.537377487133,574.8378451355989,0.9999954700469972,2265.9677679988117,545.9500559573102,0.9987964630126952,2229.317270274915,494.5855107182683,0.9964764714241028,2217.522680588738,456.45066392673544,0.9997501969337464
65,2256.1921346116815,629.5580847044098,0.9999964237213136,2233.7541059303526,616.2164789721899,0.9999828338623048,2199.5454420087317,574.897543451634,0.9999985694885254,2282.499783986047,545.7941240810751,0.998916506767273,2245.7591659523523,494.8838983161613,0.9914519786834716,2233.842796431497,456.60340401517266,0.9996718168258668
66,2272.8604304306145,629.5294028291413,0.9999979734420776,2250.3400998974025,616.2640268713253,0.9999775886535645,2216.5587338682576,574.9117796460146,0.999997854232788,2299.0746759778017,545.6079378693237,0.9980908036231996,2262.2456696988247,495.13301151778086,0.9596986770629884,2250.1941103744725,456.7242273565492,0.9995896220207214
67,2289.567770972323,629.4444331474706,0.9999911785125732,2266.9687448216987,616.2369019540457,0.999997854232788,2233.583506265037,574.8843178325758,0.9999916553497314,2315.6995164552345,545.3899900994654,0.9582581520080566,2278.777898058716,495.3292263328094,0.996584177017212,2266.5789668326556,456.80984374897554,0.999126136302948
68,2306.3397012539613,629.3057505495847,0.9999605417251588,2283.6604192432055,616.1402031651869,0.99998939037323,2250.62575338226,574.8202625470001,0.9999991655349731,2332.380457991414,545.1396766435278,0.9992202520370485,2295.356205256185,495.47022831580176,0.9975848197937012,2282.9991183831694,456.8578516530132,0.9985859394073486
69,2323.1992686155418,629.117499266582,0.9997956156730652,2300.432518068773,615.9812459641691,0.9999698400497437,2267.690704965411,574.7257565087777,0.9999891519546508,2349.1223811659647,544.8573490784904,0.9998654127120972,2311.980069539962,495.55500166551,0.9964721202850342,2299.455640312663,456.866769369053,0.998359739780426
70,2340.165998317573,628.8852454194827,0.9999440908432008,2317.2986956914033,615.7692046156866,0.9998831748962402,2284.782392953686,574.6076657266207,0.9999922513961792,2365.928612047197,544.5443376252734,0.9996376037597656,2328.6480216360856,495.58379105225345,0.998627543449402,2315.948875279932,456.83604634720876,0.9988061189651488
71,2357.255070205552,628.6157805397795,0.9999074935913086,2334.268313648245,615.5147018601355,0.9996777772903442,2301.9033105701833,574.4732673834486,0.999997854232788,2382.8007208719173,544.202943708991,0.9997722506523132,2345.3576192548785,495.5580400069055,0.9985785484313964,2332.478410280193,456.76605562316394,0.999106466770172
72,2374.4767269424547,628.31688420345,0.9973374009132384,2351.3461114120046,615.2293653335481,0.9972543120384216,2319.054178083457,574.3299545216036,0.9999994039535522,2399.7384085379595,543.8364026977788,0.9527304768562316,2362.105468796588,495.4803100183082,0.965315282344818,2349.0430861254913,456.6580688160023,0.999685287475586
73,2391.83593070992,627.9970558014248,0.9988307356834412,2368.53210623834,614.9253708929094,0.9986298084259032,2336.233822671894,574.1849694293553,0.9999939203262328,2416.739482290886,543.4488185438091,0.9861738681793212,2378.887292572872,495.35418450344406,0.8637712597846985,2365.641037708089,456.5142153873032,0.9931256771087646
74,2409.332271107362,627.6652268728502,0.999984860420227,2385.8217153089863,614.6149927458652,0.9995220899581908,2353.439172860084,574.0451749494879,0.9922884106636048,2433.7999168699757,543.0450730641902,0.9993467926979064,2395.6980371961804,495.1841615585089,0.99491149187088,2382.2697615303955,456.3374279500133,0.9993317723274232
75,2426.9601131505406,627.3304662419212,0.999846339225769,2403.206081526036,614.3101789998173,0.999968409538269,2370.665361269669,573.9168698729984,0.9999490976333618,2450.9139927149836,542.6307134292061,0.9988940358161926,2412.5320164637737,494.9755389217391,0.9931252002716064,2398.926205493377,456.1313753648206,0.9986212253570556
76,2444.708961696154,627.0016903486768,0.9999850988388062,2420.6725739883464,614.0221690219768,0.9999912977218628,2387.905923336246,573.8056513583696,0.9999960660934448,2468.0744989219093,542.211822056832,0.9999186992645264,2429.383080225938,494.73429395763446,0.999658703804016,2415.606874835021,455.9003852248035,0.9997493624687196
77,2462.564008101853,626.6873906272278,0.9999984502792358,2438.205426051009,613.761165996682,0.9999617338180542,2405.153074541975,573.716324155103,0.9435051679611206,2485.2729856935193,541.7948735419702,0.999811351299286,2446.2447994787035,494.4669607966499,0.999914288520813,2432.307947460471,455.6493571672909,0.9999202489852904
78,2480.5068170857417,626.3953885996619,0.999985694885254,2455.7864683762023,613.536074488826,0.99999737739563,2422.398044880932,573.6528535270551,0.9997518658638,2502.5000491838173,541.386583476022,0.9999313354492188,2463.110657304625,494.1805061208964,0.9998026490211488,2449.0253917210343,455.38366832049803,0.9997054934501648
79,2498.516106953946,626.1326276074013,0.9999760389328004,2473.395911751775,613.3543089075888,0.9999990463256836,2439.6314469060685,573.6183563545799,0.9998155236244202,2519.7456309290806,540.9937540364765,0.9997666478157043,2479.9742352991416,493.88220454273096,0.9994308352470398,2465.7550799591727,455.10907212840146,0.9997552037239076
80,2516.568574763757,625.9050079117209,0.9999606609344482,2491.013134698809,613.2216747496313,0.999997854232788,2456.843652914434,573.6151230839769,0.9999969005584716,2536.999314481361,540.6231210459695,0.9999313354492188,2496.829385733655,493.5795141187232,0.9984366297721864,2482.4928917962266,454.83159181007704,0.9998878240585328
81,2534.6397195230784,625.7172693974777,0.9999927282333374,2508.617433856481,613.1423206111795,0.999990463256836,2474.0251576428786,573.6446620695926,0.999996542930603,2554.250603363305,540.2812068181152,0.9999898672103882,2513.670380873192,493.2799522875674,0.9992706179618835,2499.2348021422276,454.55740978195763,0.9993879795074464
